prozent	percent
geschichte	story
frage	question
frauen	women
kinder	children
wasser	water
daten	data
verstehen	understand
zukunft	future
afrika	africa
schule	school
energie	energy
natur	nature
indien	india
buch	book
sprechen	talk
projekt	project
lernen	learn
wissenschaft	science
mutter	mother
körper	body
bild	picture
geschichten	stories
stadt	city
frau	woman
menschlichen	human
stunden	hours
universum	universe
fragen	questions
spielen	play
gesellschaft	society
sprache	language
antwort	answer
ziemlich	pretty
regierung	government
gehört	heard
eltern	parents
verändern	change
zellen	cells
erfahrung	experience
woche	week
kultur	culture
bauen	build
haus	house
vater	father
freunde	friends
wochen	weeks
krebs	cancer
tiere	animals
unterschied	difference
hören	hear
falsch	wrong
essen	food
kopf	head
fühlen	feel
prozess	process
soziale	social
gebäude	building
jahrhundert	century
einfach	simply
gemeinschaft	community
erinnern	remember
gesundheit	health
denken	thinking
beginnen	start
bildung	education
glücklich	happy
teilen	share
modell	model
technologien	technologies
lösung	solution
stück	piece
schwer	hard
freund	friend
vereinigten	united
hoffe	hope
gelernt	learned
verhalten	behavior
struktur	structure
wirtschaft	economy
mitgefühl	compassion
oberfläche	surface
spiel	game
fähigkeit	ability
bücher	books
plötzlich	suddenly
städte	cities
unglaublich	incredibly
schulen	schools
stimme	voice
wahrheit	truth
tausende	thousands
regeln	rules
erklären	explain
herausforderung	challenge
kindern	kids
realität	reality
medien	media
schreiben	write
krankheit	disease
kosten	cost
gebaut	built
armut	poverty
wissenschaftler	scientists
schrieb	wrote
beispiele	examples
lösen	solve
markt	market
umwelt	environment
größe	size
lehrer	teachers
aufmerksamkeit	attention
zugang	access
ozean	ocean
dorf	village
alter	age
schönheit	beauty
entwicklung	development
schneller	faster
beziehung	relationship
zeug	stuff
bringen	bring
reise	journey
produkt	product
architektur	architecture
objekt	object
mitte	middle
verändert	changed
bakterien	bacteria
passierte	happened
gewalt	violence
erfolg	success
medizin	medicine
englisch	english
pflanzen	plants
entscheidungen	decisions
programm	program
absolut	absolutely
nachrichten	news
stunde	hour
wachstum	growth
unmöglich	impossible
wachsen	grow
universität	university
schwierig	difficult
entwickeln	develop
materialien	materials
bereit	ready
amerikanischen	american
wand	wall
gefühl	feeling
sicherheit	security
lösungen	solutions
projekte	projects
amerikaner	americans
glück	happiness
entwickelt	developed
komplett	completely
öffentlichen	public
rolle	role
kreativität	creativity
zelle	cell
leidenschaft	passion
krankenhaus	hospital
gründe	reasons
produkte	products
regierungen	governments
büro	office
freiheit	freedom
tochter	daughter
einzelne	single
komplexität	complexity
netzwerk	network
werkzeuge	tools
physik	physics
konzept	concept
entschieden	decided
bäume	trees
straße	street
vertrauen	trust
studien	studies
neuronen	neurons
westen	west
infrastruktur	infrastructure
vergessen	forget
sterne	stars
messen	measure
armen	poor
gesellschaften	societies
arzt	doctor
kollegen	colleagues
arten	kinds
schließlich	finally
materie	matter
modernen	modern
osten	east
verkaufen	sell
farbe	color
verbunden	connected
schön	beautiful
gesetz	law
politischen	political
überleben	survive
natürliche	natural
buchstäblich	literally
bühne	stage
erfunden	invented
richtung	direction
frieden	peace
roten	red
wahl	choice
preis	price
fähigkeiten	skills
geschrieben	written
atmosphäre	atmosphere
intelligenz	intelligence
unglaubliche	incredible
objekte	objects
boden	ground
konferenz	conference
ärzte	doctors
meilen	miles
antworten	answers
menschheit	humanity
verständnis	understanding
verantwortung	responsibility
erwarten	expect
behandlung	treatment
karriere	career
fisch	fish
verbindung	connection
mathematik	mathematics
entdeckt	discovered
maschinen	machines
bewusstsein	consciousness
verbringen	spend
ergebnis	result
künstler	artists
schützen	protect
erkennen	recognize
näher	closer
schwester	sister
organisationen	organizations
qualität	quality
größer	bigger
bleiben	stay
präsident	president
modelle	models
langsam	slowly
schwarze	black
warten	wait
gelegenheit	opportunity
beziehungen	relationships
aktivität	activity
herauszufinden	figure
gestern	yesterday
beginnt	starts
treffen	meet
sprachen	languages
phänomen	phenomenon
spiele	games
folgen	follow
reihe	series
beine	legs
wissenschaftliche	scientific
identität	identity
bedeutung	meaning
institutionen	institutions
risiko	risk
entscheidung	decision
kalifornien	california
starb	died
leisten	afford
10.000	10,000
weißen	white
krankheiten	diseases
größte	biggest
unterschiede	differences
verrückt	crazy
sauerstoff	oxygen
grün	green
herausforderungen	challenges
konzentrieren	focus
bruder	brother
landwirtschaft	agriculture
echte	real
getötet	killed
bildschirm	screen
artikel	article
schmerz	pain
galaxie	galaxy
geschäft	business
möglichkeit	possibility
generationen	generations
bewusst	aware
inspiriert	inspired
gesetze	laws
schlimmer	worse
führen	lead
geschaffen	created
spricht	talks
entscheiden	decide
verbessern	improve
verbracht	spent
perspektive	perspective
riesige	huge
gefährlich	dangerous
farben	colors
fortschritt	progress
polizei	police
gesamte	entire
werkzeug	tool
bedingungen	conditions
persönliche	personal
straßen	streets
elektrizität	electricity
bezahlen	pay
klingt	sounds
beweise	evidence
behandeln	treat
entwicklungsländern	developing
vielfalt	diversity
einkommen	income
kaffee	coffee
komplexe	complex
ecke	corner
erstaunlich	amazing
temperatur	temperature
gewinnen	win
dunkle	dark
erreichen	reach
mexiko	mexico
kommunikation	communication
bauern	farmers
babys	babies
geschwindigkeit	speed
gesprochen	talked
hilft	helps
unterstützen	support
entdecken	discover
ansatz	approach
erzählt	tells
stimmen	voices
netzwerke	networks
führt	leads
kulturen	cultures
australien	australia
fahren	drive
möglichkeiten	possibilities
maus	mouse
jahrzehnt	decade
jungen	boys
druck	pressure
chemikalien	chemicals
linien	lines
gemeinden	communities
leute	guys
moralische	moral
nationen	nations
fernsehen	television
westlichen	western
insel	island
landschaft	landscape
lebt	lives
quelle	source
kirche	church
führte	led
verstanden	understood
wüste	desert
perfekt	perfect
durchschnittliche	average
statistiken	statistics
internationalen	international
vergleichen	compare
lektion	lesson
verbinden	connect
erfolgreich	successful
teuer	expensive
erklärt	explains
großmutter	grandmother
flugzeug	airplane
erfahrungen	experiences
sitzen	sitting
brücke	bridge
wirtschaftlichen	economic
soldaten	soldiers
deutsch@@ land	germany
aufregend	exciting
krank	sick
überzeugen	convince
basiert	based
südafri@@ ka	south
medikament	drug
fantastisch	fantastic
kindheit	childhood
löcher	holes
größten	largest
vorfahren	ancestors
kräfte	forces
stuhl	chair
überrascht	surprised
verantwortlich	responsible
mikro@@ ben	micro@@ bes
prinzipien	principles
erklärung	explan@@ ation
nimmt	takes
gefühle	feelings
afrikanischen	african
einfluss	impact
bürger	citizens
nachbarn	neighb@@ ors
wuchs	grew
punkte	dots
fuß	foot
fehler	mistake
gesund	healthy
hintergrund	background
gerechtigkeit	justice
prinzip	principle
fleisch	meat
medizinische	medical
entworfen	designed
10@@ 0.000	100,000
gefängnis	prison
chines@@ ische	chinese
o@@ hren	e@@ ars
religi@@ onen	religi@@ ons
brasili@@ en	brazil
produktion	production
reaktion	response
psych@@ ologie	psychology
chemie	chemistry
sp@@ ät	late
verlassen	leave
eigenschaften	properties
märkte	markets
erkannte	realized
köni@@ g	king
bringt	brings
gene@@ tische	genetic
waffen	weapons
plasti@@ k	plastic
entdeckung	discovery
ziele	goals
ägyp@@ ten	eg@@ y@@ pt
verbindungen	connections
teilchen	particles
geburt	birth
sorgen	worry
schuhe	shoes
jahrzehn@@ ten	decades
lebte	lived
ar@@ mee	army
geheimnis	secret
einfach@@ heit	simpli@@ city
lebenden	living
kompliziert	complicated
blu@@ men	flo@@ wers
tanz	dance
affen	mon@@ keys
verkauft	sold
gemeinsam	common
veröffentlicht	published
wel@@ traum	space
dach	roof
pfund	pounds
fluss	river
politiker	politicians
reisen	travel
zusammenarbeit	collaboration
brachte	brought
strategie	strategy
reich	rich
ge@@ kauft	bought
geschieht	happening
bibliothe@@ k	library
bezahlt	paid
vorstell@@ ungskraft	imagination
sicht	view
ein@@ geladen	invited
auf@@ geregt	excited
zu@@ cker	sugar
kultur@@ elle	cultural
kapit@@ el	chap@@ ter
wählen	choose
kümmern	care
län@@ dlichen	rural
sonnen@@ licht	sun@@ light
garten	garden
ständig	constantly
liter@@ atur	liter@@ ature
schritte	steps
verlust	loss
exi@@ stenz	existence
schaute	looked
verhindern	prevent
weiterhin	continue
stark	strong
zä@@ hne	teeth
epide@@ mie	epidemic
auto@@ matisch	auto@@ matically
mehr@@ heit	majority
überrasch@@ ung	surprise
wahrnehmung	perception
gespielt	played
ge@@ holfen	helped
wel@@ ten	worl@@ ds
in@@ dischen	indian
öko@@ system	ecosystem
fühlt	feels
überzeugt	convinced
möglichen	sorts
kohlen@@ stoff	carbon
größeren	larger
rus@@ s@@ land	russi@@ a
frank@@ reich	fr@@ ance
kampagne	campaign
geräte	devices
produziert	produced
wichtiger	importantly
